Año,Semana,Precio Gasolina,Precio Gasoleo
2002,Semana 1,0.759,0.673
2002,Semana 2,0.759,0.673
2002,Semana 3,0.767,0.673
2002,Semana 4,0.762,0.667
2002,Semana 5,0.762,0.668
2002,Semana 6,0.768,0.669
2002,Semana 7,0.77,0.671
2002,Semana 8,0.77,0.671
2002,Semana 9,0.77,0.671
2002,Semana 10,0.774,0.671
2002,Semana 11,0.8,0.685
2002,Semana 12,0.803,0.687
2002,Semana 13,0.813,0.696
2002,Semana 14,0.8234999999999999,0.7
2002,Semana 15,0.834,0.704
2002,Semana 16,0.848,0.71
2002,Semana 17,0.848,0.71
2002,Semana 18,0.841,0.707
2002,Semana 19,0.841,0.707
2002,Semana 20,0.84,0.707
2002,Semana 21,0.84,0.707
2002,Semana 22,0.835,0.702
2002,Semana 23,0.821,0.688
2002,Semana 24,0.818,0.682
2002,Semana 25,0.812,0.678
2002,Semana 26,0.812,0.678
2002,Semana 27,0.813,0.678
2002,Semana 28,0.821,0.678
2002,Semana 29,0.822,0.678
2002,Semana 30,0.823,0.679
2002,Semana 31,0.821,0.679
2002,Semana 32,0.823,0.68
2002,Semana 33,0.823,0.68
2002,Semana 34,0.823,0.68
2002,Semana 35,0.824,0.691
2002,Semana 36,0.825,0.692
2002,Semana 37,0.825,0.692
2002,Semana 38,0.834,0.703
2002,Semana 39,0.834,0.702
2002,Semana 40,0.84,0.713
2002,Semana 41,0.839,0.713
2002,Semana 42,0.839,0.713
2002,Semana 43,0.839,0.713
2002,Semana 44,0.831,0.706
2002,Semana 45,0.818,0.695
2002,Semana 46,0.805,0.678
2002,Semana 47,0.787,0.667
2002,Semana 48,0.786,0.666
2002,Semana 49,0.795,0.677
2002,Semana 50,0.801,0.684
2002,Semana 51,0.801,0.684
2003,Semana 1,0.8160000000000001,0.7030000000000001
2003,Semana 2,0.831,0.722
2003,Semana 3,0.831,0.722
2003,Semana 4,0.831,0.713
2003,Semana 5,0.831,0.715
2003,Semana 6,0.843,0.724
2003,Semana 7,0.845,0.727
2003,Semana 8,0.849,0.727
2003,Semana 9,0.855,0.739
2003,Semana 10,0.866,0.756
2003,Semana 11,0.863,0.764
2003,Semana 12,0.863,0.774
2003,Semana 13,0.85,0.769
2003,Semana 14,0.839,0.756
2003,Semana 15,0.828,0.733
2003,Semana 16,0.824,0.719
2003,Semana 17,0.819,0.71
2003,Semana 18,0.814,0.701
2003,Semana 19,0.81,0.698
2003,Semana 20,0.798,0.679
2003,Semana 21,0.797,0.677
2003,Semana 22,0.794,0.67
2003,Semana 23,0.794,0.668
2003,Semana 24,0.794,0.662
2003,Semana 25,0.794,0.662
2003,Semana 26,0.794,0.662
2003,Semana 27,0.794,0.659
2003,Semana 28,0.804,0.668
2003,Semana 29,0.816,0.67
2003,Semana 30,0.816,0.67
2003,Semana 31,0.816,0.669
2003,Semana 32,0.816,0.669
2003,Semana 33,0.822,0.675
2003,Semana 34,0.828,0.681
2003,Semana 35,0.842,0.683
2003,Semana 36,0.844,0.685
2003,Semana 37,0.84,0.683
2003,Semana 38,0.823,0.675
2003,Semana 39,0.807,0.661
2003,Semana 40,0.799,0.662
2003,Semana 41,0.799,0.67
2003,Semana 42,0.799,0.684
2003,Semana 43,0.802,0.688
2003,Semana 44,0.798,0.682
2003,Semana 45,0.805,0.69
2003,Semana 46,0.799,0.69
2003,Semana 47,0.799,0.684
2003,Semana 48,0.799,0.684
2003,Semana 49,0.798,0.681
2003,Semana 50,0.798,0.691
2003,Semana 51,0.798,0.692
2004,Semana 1,0.793,0.6904999999999999
2004,Semana 2,0.788,0.689
2004,Semana 3,0.804,0.701
2004,Semana 4,0.804,0.693
2004,Semana 5,0.812,0.7
2004,Semana 6,0.812,0.691
2004,Semana 7,0.812,0.683
2004,Semana 8,0.813,0.681
2004,Semana 9,0.814,0.681
2004,Semana 10,0.824,0.692
2004,Semana 11,0.828,0.698
2004,Semana 12,0.828,0.696
2004,Semana 13,0.839,0.706
2004,Semana 14,0.848,0.715
2004,Semana 15,0.849,0.715
2004,Semana 16,0.851,0.716
2004,Semana 17,0.862,0.727
2004,Semana 18,0.863,0.729
2004,Semana 19,0.876,0.737
2004,Semana 20,0.88,0.74
2004,Semana 21,0.899,0.754
2004,Semana 22,0.908,0.759
2004,Semana 23,0.909,0.759
2004,Semana 24,0.899,0.75
2004,Semana 25,0.888,0.742
2004,Semana 26,0.881,0.739
2004,Semana 27,0.878,0.735
2004,Semana 28,0.877,0.74
2004,Semana 29,0.888,0.753
2004,Semana 30,0.897,0.753
2004,Semana 31,0.897,0.76
2004,Semana 32,0.904,0.769
2004,Semana 33,0.908,0.781
2004,Semana 34,0.909,0.783
2004,Semana 35,0.909,0.791
2004,Semana 36,0.905,0.79
2004,Semana 37,0.902,0.79
2004,Semana 38,0.901,0.792
2004,Semana 39,0.901,0.793
2004,Semana 40,0.91,0.806
