Modelo;Motorización;Categoría;Nº de Plazas;MTMA;Potencia eléctrica (kW);Consumo eléctrico (kWh/100km);Capacidad de la batería (kWh);Autonomía eléctrica (km)
Abarth Abarth 500 BEV Nuevo Abarth 500e Scorpionissima 42kwh 113kw (154cv);Eléctricos puros;M1;4;1410;113;18.1;42;253
Abarth Abarth 500 BEV Nuevo Abarth Cabrio 500e Scorpionissima 42kwh 113kw (154cv);Eléctricos puros;M1;4;1435;113;18.8;42;242
Addax MT15n 55 km/h Caja flatbed ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15n 55 km/h Cargo ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15n 55 km/h Chasis ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15n 55 km/h Combo Tipper ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15n 55 km/h Frigo ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15n 55 km/h Tipper ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15n 55 km/h Tipper container ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15n 60 km/h Caja flatbed ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15n 60 km/h Cargo ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15n 60 km/h Chasis ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15n 60 km/h Combo Tipper ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15n 60 km/h Frigo ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15n 60 km/h Tipper ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15n 60 km/h Tipper container ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15n 70 km/h Caja flatbed ;Eléctricos puros;N1;2;1910;12.5;18.6;14.4;76
Addax MT15n 70 km/h Cargo ;Eléctricos puros;N1;2;1910;12.5;18.6;14.4;76
Addax MT15n 70 km/h Chasis ;Eléctricos puros;N1;2;1910;12.5;18.6;14.4;76
Addax MT15n 70 km/h Combo Tipper ;Eléctricos puros;N1;2;1910;12.5;18.6;14.4;76
Addax MT15n 70 km/h Frigo ;Eléctricos puros;N1;2;1910;12.5;18.6;14.4;76
Addax MT15n 70 km/h Tipper ;Eléctricos puros;N1;2;1910;12.5;18.6;14.4;76
Addax MT15n 70 km/h Tipper container ;Eléctricos puros;N1;2;1910;12.5;18.6;14.4;76
Addax MT15x 55 km/h Caja flatbed ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15x 55 km/h Cargo ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15x 55 km/h Chasis ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15x 55 km/h Combo Tipper ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15x 55 km/h Frigo ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15x 55 km/h Tipper ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15x 55 km/h Tipper container ;Eléctricos puros;N1;2;1910;12.5;11.4;14.4;114
Addax MT15x 60 km/h Caja flatbed ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15x 60 km/h Cargo ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15x 60 km/h Chasis ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15x 60 km/h Combo Tipper ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15x 60 km/h Frigo ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15x 60 km/h Tipper ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT15x 60 km/h Tipper container ;Eléctricos puros;N1;2;1910;12.5;18.4;14.4;76
Addax MT8n Caja flatbed ;Eléctricos puros;N1;2;1910;12.5;12.1;8;60
Addax MT8n Cargo ;Eléctricos puros;N1;2;1910;12.5;12.1;8;60
Addax MT8n Chasis ;Eléctricos puros;N1;2;1910;12.5;18.4;8;60
Addax MT8n Combo Tipper ;Eléctricos puros;N1;2;1910;12.5;12.1;8;60
Addax MT8n Frigo ;Eléctricos puros;N1;2;1910;12.5;12.1;8;60
Addax MT8n Tipper ;Eléctricos puros;N1;2;1910;12.5;12.1;8;60
Addax MT8n Tipper container ;Eléctricos puros;N1;2;1910;12.5;12.1;8;60
AIWAYS U5 MAS861-WVTA/2WB/FL4;Eléctricos puros;M1;5;2135;55;15.75;63;400
AIWAYS U6 PRIME;Eléctricos puros;M1;5;2290;160;16;63;405
Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPECIALE Q4;Híbridos enchufables;M1;5;2470;90;15;15.5;69
Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPECIALE Q4 e-AWD;Híbridos enchufables;M1;5;2470;90;15;15.5;69
Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPRINT Q4;Híbridos enchufables;M1;5;2470;90;15;15.5;69
Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPRINT Q4 e-AWD;Híbridos enchufables;M1;5;2470;90;15;15.5;69
Alfa Romeo Tonale 1,3 GAS PHEV 280 CV Ti Q4;Híbridos enchufables;M1;5;2470;90;15;15.5;69
Alfa Romeo Tonale 1,3 GAS PHEV 280 CV Ti Q4 e-AWD;Híbridos enchufables;M1;5;2470;90;15;15.5;69
Alfa Romeo Tonale 1,3 GAS PHEV 280 CV VELOCE Q4;Híbridos enchufables;M1;5;2470;90;15;15.5;69
Alfa Romeo Tonale 1,3 GAS PHEV 280 CV VELOCE Q4 e-AWD;Híbridos enchufables;M1;5;2470;90;15;15.5;69
ALKE ATX 310 E plomo acido;Eléctricos puros;N1;2;1510;14;11;10;75
ALKE ATX 320 E plomo acido;Eléctricos puros;N1;2;1510;14;11;10;75
ALKE ATX 330 E plomo acido;Eléctricos puros;N1;2;1510;14;11;10;75
ALKE ATX 330 ED plomo acido;Eléctricos puros;N1;4;2150;14;11;10;75
ALKE ATX 330 EH plomo acido;Eléctricos puros;N1;2;2510;14;11;10;75
ALKE ATX 330 EHD plomo acido;Eléctricos puros;N1;4;2510;14;11;10;75
ALKE ATX 340 E Litio 10 kwh;Eléctricos puros;N1;2;2150;14;9.5;10;80
ALKE ATX 340 E Litio 20kwh;Eléctricos puros;N1;2;2150;14;9.5;20;150
ALKE ATX 340 E plomo acido;Eléctricos puros;N1;2;2150;14;13;14.4;90
ALKE ATX 340 ED Litio 10 kwh;Eléctricos puros;N1;4;2150;14;9.5;10;80
ALKE ATX 340 ED Litio 20kwh;Eléctricos puros;N1;4;2150;14;9.5;20;150
ALKE ATX 340 ED plomo acido;Eléctricos puros;N1;4;2150;14;13;14.4;90
ALKE ATX 340 EDH Litio 10 kwh;Eléctricos puros;N1;4;2510;14;9.5;10;80
ALKE ATX 340 EDH Litio 20kwh;Eléctricos puros;N1;4;2510;14;9.5;20;150
ALKE ATX 340 EDH plomo acido;Eléctricos puros;N1;4;2510;14;13;14.4;90
ALKE ATX 340 EH Litio 10 kwh;Eléctricos puros;N1;2;2510;14;9.5;10;80
ALKE ATX 340 EH Litio 20kwh;Eléctricos puros;N1;2;2510;14;9.5;20;150
ALKE ATX 340 EH plomo acido;Eléctricos puros;N1;2;2510;14;13;14.4;90
ARENA RES3 R30;Eléctricos puros;L3e;2;254;3.2;4.4;2.7;100
ARENA VT3 R30;Eléctricos puros;L3e;2;300;56;5.4;40;80
ARES R14 CAJA BASCULANTE;Eléctricos puros;N1;2;2600;14;24.67;20;83
ARES R14 CAJA FIJA;Eléctricos puros;N1;2;2600;14;24.67;20;83
ARES R14 CHASIS CABINA;Eléctricos puros;N1;2;2600;14;24.67;20;83
ASKOLL eS3 EVO;Eléctricos puros;L3e;2;245;3;3.9;2.82;96
ASKOLL NGS 3 ;Eléctricos puros;L3e;2;245;3;3.9;2.82;96
ASKOLL PRO 70 ;Eléctricos puros;L3e;1;245;3;3.9;2.82;96
ASKOLL XKP 70 Connect;Eléctricos puros;L3e;2;260;3.01;4.7;2.8;90
Audi A3 40 e-tron 40 e-tron 150 kW (204 CV) S tronic MY 20;Híbridos enchufables;M1;5;2055;80;137;0;37
Audi A3 SPORTBACK 45 TFSIe Black line competición MY21;Híbridos enchufables;M1;5;2075;85;15.3;15;60
Audi A3 Sportback NF 40 TFSI e 150 kW (205 cv) S tronic 7 vel. Advanced MY21;Híbridos enchufables;M1;5;2065;85;144;13;65
Audi A3 Sportback NF 40 TFSI e 150 kW (205 cv) S tronic 7 vel. S line / Black line MY21;Híbridos enchufables;M1;5;2065;85;152;13;60
Audi A3 Sportback NF 40 TFSI e150 kW (204 cv) S tronic 6 vel. Advanced MY22;Híbridos enchufables;M1;5;2065;85;15.1;10.4;61
Audi A3 Sportback NF 40 TFSI e150 kW (204 cv) S tronic 6 vel. S line/Black line MY22;Híbridos enchufables;M1;5;2065;80;15.1;10.4;61
Audi A3 Sportback NF 40 TFSIe 150 kW (204 CV) S tronic 6 vel. Advanced / S line MY23;Híbridos enchufables;M1;5;2085;110;14.8;10.4;63
Audi A3 Sportback NF 40 TFSIe 150 kW (204 CV) S tronic 6 vel. Advanced MY24;Híbridos enchufables;M1;5;2085;80;15.7;13;64
Audi A3 Sportback NF 40 TFSIe 150 kW (204 cv) S tronic 6 vel. S line MY24;Híbridos enchufables;M1;5;2085;80;15.7;13;60
Audi A3 Sportback NF 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Black line competition MY23;Híbridos enchufables;M1;5;2320;80;15.4;10.4;59
Audi A3 Sportback NF 45 TFSI e180 kW (245 CV) S tronic 6 vell. Black line competition MY22;Híbridos enchufables;M1;5;2065;86;15.6;10.4;61
Audi A3 Sportback NF 45 TFSIe 180 kW (245 CV) S tronic 6 vel. Black line competition MY24;Híbridos enchufables;M1;5;2095;80;15.8;13;59
Audi A6 50 TFSI e design quattro 220 kW (299 CV) S tronic MY 20;Híbridos enchufables;M1;5;2610;105;173;0;54
Audi A6 50 TFSI e quattro 220 kW (299 CV) S tronic MY 20;Híbridos enchufables;M1;5;2610;105;170;0;56
Audi A6 50 TFSI e sport quattro 220 kW (299 CV) S tronic MY 20;Híbridos enchufables;M1;5;2610;105;171;0;55
Audi A6 55 TFSI e quattro 270 kW (367 CV) S tronic MY 20;Híbridos enchufables;M1;5;2610;105;179;0;54
Audi A6 AVANT 50 TFSIe quattro-ultra 220 kW (299 CV)* S tronic 7 vel. Advanced MY24;Híbridos enchufables;M1;5;2675;100;20.1;17.9;66
