Modelo,Clasificación
Abarth 595 ABARTH 595 1.4 16v T-JET 107 KW (145 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595 COMPETIZIONE 1.4 16v T-JET 132 KW (180 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595 ESSEESSE 1.4 16v T-JET 132 KW (180 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595 MONSTER ENERGY YAMAHA 1.4 16v T-JET 121 kW (165 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595 PISTA 1.4 16v T-JET 121 kW (165 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595 SCORPIONEORO 1.4 16v T-JET 121 kW (165 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595 TURISMO 1.4 16v T-JET 121 kW (165 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595C 1.4 16v T-JET 107 KW (145 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595C COMPETIZIONE 1.4 16v T-JET 132 KW (180 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595C ESSEESSE 1.4 16v T-JET 132 KW (180 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595C MONSTER ENERGY YAMAHA 1.4 16v T-JET 121 kW (165 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595C PISTA 1.4 16v T-JET 121 kW (165 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595C SCORPIONEORO 1.4 16v T-JET 121 KW (165 CV) E6D,Clasificación: G
Abarth 595 ABARTH 595C TURISMO 1.4 16v T-JET 121 KW (165 CV) E6D,Clasificación: G
Abarth 595 ABARTH 695 70º ANIVERSARIO 1.4 16v T-JET 132 KW (180 CV) E6D,Clasificación: G
Abarth Abarth 500 BEV Nuevo Abarth 500e Scorpionissima 42kwh 113kw (154cv),Clasificación: Sin clasificación
Abarth Abarth 500 BEV Nuevo Abarth Cabrio 500e Scorpionissima 42kwh 113kw (154cv),Clasificación: Sin clasificación
Addax MT15n 55 km/h Caja flatbed,Clasificación: Sin clasificación
Addax MT15n 55 km/h Cargo,Clasificación: Sin clasificación
Addax MT15n 55 km/h Chasis,Clasificación: Sin clasificación
Addax MT15n 55 km/h Combo Tipper,Clasificación: Sin clasificación
Addax MT15n 55 km/h Frigo,Clasificación: Sin clasificación
Addax MT15n 55 km/h Tipper,Clasificación: Sin clasificación
Addax MT15n 55 km/h Tipper container,Clasificación: Sin clasificación
Addax MT15n 60 km/h Caja flatbed,Clasificación: Sin clasificación
Addax MT15n 60 km/h Cargo,Clasificación: Sin clasificación
Addax MT15n 60 km/h Chasis,Clasificación: Sin clasificación
Addax MT15n 60 km/h Combo Tipper,Clasificación: Sin clasificación
Addax MT15n 60 km/h Frigo,Clasificación: Sin clasificación
Addax MT15n 60 km/h Tipper,Clasificación: Sin clasificación
Addax MT15n 60 km/h Tipper container,Clasificación: Sin clasificación
Addax MT15n 70 km/h Caja flatbed,Clasificación: Sin clasificación
Addax MT15n 70 km/h Cargo,Clasificación: Sin clasificación
Addax MT15n 70 km/h Chasis,Clasificación: Sin clasificación
Addax MT15n 70 km/h Combo Tipper,Clasificación: Sin clasificación
Addax MT15n 70 km/h Frigo,Clasificación: Sin clasificación
Addax MT15n 70 km/h Tipper,Clasificación: Sin clasificación
Addax MT15n 70 km/h Tipper container,Clasificación: Sin clasificación
Addax MT15x 55 km/h Caja flatbed,Clasificación: Sin clasificación
Addax MT15x 55 km/h Cargo,Clasificación: Sin clasificación
Addax MT15x 55 km/h Chasis,Clasificación: Sin clasificación
Addax MT15x 55 km/h Combo Tipper,Clasificación: Sin clasificación
Addax MT15x 55 km/h Frigo,Clasificación: Sin clasificación
Addax MT15x 55 km/h Tipper,Clasificación: Sin clasificación
Addax MT15x 55 km/h Tipper container,Clasificación: Sin clasificación
Addax MT15x 60 km/h Caja flatbed,Clasificación: Sin clasificación
Addax MT15x 60 km/h Cargo,Clasificación: Sin clasificación
Addax MT15x 60 km/h Chasis,Clasificación: Sin clasificación
Addax MT15x 60 km/h Combo Tipper,Clasificación: Sin clasificación
Addax MT15x 60 km/h Frigo,Clasificación: Sin clasificación
Addax MT15x 60 km/h Tipper,Clasificación: Sin clasificación
Addax MT15x 60 km/h Tipper container,Clasificación: Sin clasificación
Addax MT8n Caja flatbed,Clasificación: Sin clasificación
Addax MT8n Cargo,Clasificación: Sin clasificación
Addax MT8n Chasis,Clasificación: Sin clasificación
Addax MT8n Combo Tipper,Clasificación: Sin clasificación
Addax MT8n Frigo,Clasificación: Sin clasificación
Addax MT8n Tipper,Clasificación: Sin clasificación
Addax MT8n Tipper container,Clasificación: Sin clasificación
AIWAYS U5 MAS861-WVTA/2WB/FL4,Clasificación: Sin clasificación
AIWAYS U6 PRIME,Clasificación: Sin clasificación
Alfa Romeo GIULIETTA 1.4 TB 120cv SUPER,Clasificación: E
Alfa Romeo GIULIETTA 1.4 TB 120cv B-TECH,Clasificación: E
Alfa Romeo GIULIETTA 1.4 TB 120cv GIULIETTA,Clasificación: E
Alfa Romeo GIULIETTA 1.4 TB 120cv SPORT,Clasificación: E
Alfa Romeo GIULIETTA 1.6 JTD 120cv B-TECH,Clasificación: E
Alfa Romeo GIULIETTA 1.6 JTD 120cv GIULIETTA,Clasificación: E
Alfa Romeo GIULIETTA 1.6 JTD 120cv SPORT,Clasificación: E
Alfa Romeo GIULIETTA 1.6 JTD 120cv SUPER,Clasificación: E
Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT GIULIETTA,Clasificación: E
Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT SPORT,Clasificación: E
Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT SUPER,Clasificación: E
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPECIALE Q4",Clasificación: A
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPECIALE Q4 e-AWD",Clasificación: A
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPRINT Q4",Clasificación: A
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV SPRINT Q4 e-AWD",Clasificación: A
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV Ti Q4",Clasificación: A
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV Ti Q4 e-AWD",Clasificación: A
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV VELOCE Q4",Clasificación: A
"Alfa Romeo Tonale 1,3 GAS PHEV 280 CV VELOCE Q4 e-AWD",Clasificación: A
"Alfa Romeo Tonale 1,6 DS 130 CV SPRINT FWD",Clasificación: C
"Alfa Romeo Tonale 1,6 DS 130 CV SUPER FWD",Clasificación: C
"Alfa Romeo Tonale 1,6 DS 130 CV Ti FWD",Clasificación: C
Alfa Romeo Tonale 1.5 MHEV GASOLINA 130 CV SPRINT FWD,Clasificación: A
Alfa Romeo Tonale 1.5 MHEV GASOLINA 130 CV SUPER FWD,Clasificación: A
Alfa Romeo Tonale 1.5 MHEV GASOLINA 160 CV Ti FWD,Clasificación: A
Alfa Romeo Tonale 1.5 MHEV GASOLINA 160 CV VELOCE FWD,Clasificación: A
ALKE ATX 310 E plomo acido,Clasificación: Sin clasificación
ALKE ATX 320 E plomo acido,Clasificación: Sin clasificación
ALKE ATX 330 E plomo acido,Clasificación: Sin clasificación
ALKE ATX 330 ED plomo acido,Clasificación: Sin clasificación
ALKE ATX 330 EH plomo acido,Clasificación: Sin clasificación
ALKE ATX 330 EHD plomo acido,Clasificación: Sin clasificación
ALKE ATX 340 E Litio 10 kwh,Clasificación: Sin clasificación
ALKE ATX 340 E Litio 20kwh,Clasificación: Sin clasificación
ALKE ATX 340 E plomo acido,Clasificación: Sin clasificación
ALKE ATX 340 ED Litio 10 kwh,Clasificación: Sin clasificación
ALKE ATX 340 ED Litio 20kwh,Clasificación: Sin clasificación
ALKE ATX 340 ED plomo acido,Clasificación: Sin clasificación
ALKE ATX 340 EDH Litio 10 kwh,Clasificación: Sin clasificación
ALKE ATX 340 EDH Litio 20kwh,Clasificación: Sin clasificación
ALKE ATX 340 EDH plomo acido,Clasificación: Sin clasificación
ALKE ATX 340 EH Litio 10 kwh,Clasificación: Sin clasificación
ALKE ATX 340 EH Litio 20kwh,Clasificación: Sin clasificación
ALKE ATX 340 EH plomo acido,Clasificación: Sin clasificación
ALSTOM APTIS 2 Puertas dobles 350 kWh,Clasificación: Sin clasificación
ALSTOM APTIS 3 Puertas dobles 350 kWh,Clasificación: Sin clasificación
ARENA RES3 R30,Clasificación: Sin clasificación
ARENA VT3 R30,Clasificación: Sin clasificación
ARES R14 CAJA BASCULANTE,Clasificación: Sin clasificación
ARES R14 CAJA FIJA,Clasificación: Sin clasificación
ARES R14 CHASIS CABINA,Clasificación: Sin clasificación
ASKOLL eS3 EVO,Clasificación: Sin clasificación
ASKOLL NGS 3,Clasificación: Sin clasificación
ASKOLL PRO 70,Clasificación: Sin clasificación
ASKOLL XKP 70 Connect,Clasificación: Sin clasificación
Audi A1 Allstreet 25 TFSI 70 kW (95 CV) 5 vel. Adrenalin/Adrenalin Black line MY23,Clasificación: C
Audi A1 Allstreet 25 TFSI 70 kW (95 CV) 5 vel. Basic MY23,Clasificación: C
Audi A1 Allstreet 30 TFSI 81 (119 CV) S tronic 7 vel. Adrenalin/Adrenalin Black line MY23,Clasificación: D
Audi A1 Allstreet 30 TFSI 81 kW (110 CV) 6 vel. Adrenalin/Adrenalin Black line MY23,Clasificación: C
Audi A1 Allstreet 30 TFSI 81 kW (110 CV) 6 vel. Basic MY23,Clasificación: C
Audi A1 Allstreet 30 TFSI 81 kW (110 CV) S tronic 7 vel. Basic MY23,Clasificación: D
Audi A1 Allstreet 35 TFSI 110 kW (150 CV) S tronic 7 vel. Adrenalin/ Adrenalin Black line MY23,Clasificación: E
Audi A1 Allstreet 35 TFSI 110 kW (150 CV) S tronic 7 vel. Basic MY23,Clasificación: E
Audi A1 City Carver 25 TFSI 70 kW (95 CV) 5 vel. MY 20,Clasificación: D
Audi A1 City Carver 30 TFSI 85 kW (116 CV) 6 vel. MY 20,Clasificación: D
Audi A1 City Carver 30 TFSI 85 kW (116 CV) S tronic MY 20,Clasificación: E
Audi A1 citycarver 25 TFSI 70 kW (95 CV) 5 vel. Básico / Black Line MY21,Clasificación: C
Audi A1 citycarver 25 TFSI 70 kW (95 CV) 5 vel. MY21,Clasificación: D
Audi A1 citycarver 30 TFSI 81 kW (110 CV) 6 vel. MY21,Clasificación: D
Audi A1 citycarver 30 TFSI 81 kW (110 CV) 6 vel. Básico / Black Line MY21,Clasificación: C
Audi A1 citycarver 30 TFSI 81 kW (110 CV) S tronic 7 vel MY21,Clasificación: E
Audi A1 citycarver 30 TFSI 81 kW (110 CV) S tronic 7 vel Básico / Black Line MY21,Clasificación: D
Audi A1 citycarver 30 TFSI 85 kW (116 CV) 6 vel. MY21,Clasificación: D
Audi A1 citycarver 30 TFSI 85 kW (116 CV) S tronic 7 vel MY21,Clasificación: E
Audi A1 citycarver 35 TFSI 110 kW (116 CV) 6 vel. MY21,Clasificación: D
Audi A1 citycarver 35 TFSI 110 kW (116 CV) S tronic 7 vel MY21,Clasificación: E
Audi A1 citycarver 35 TFSI 110 kW (150 CV) 6 vel. MY 20,Clasificación: D
Audi A1 citycarver 35 TFSI 110 kW (150 CV) S tronic MY 20,Clasificación: D
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Adrenalin/Adrenalin Black line MY23,Clasificación: C
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Advanced MY23,Clasificación: C
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Básico MY22,Clasificación: C
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Básico/Advanced MY21,Clasificación: C
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. Básico/Advanced MY21,Clasificación: C
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. MY 20,Clasificación: D
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. MY19,Clasificación: C
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. S line/Adrenalin/ Black line MY21,Clasificación: C
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. S line/Adrenalin/Black Line MY21,Clasificación: D
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) 5 vel. S line/Black line MY22,Clasificación: C
Audi A1 SPORTBACK 25 TFSI 70 kW (95 CV) S tronic MY 20,Clasificación: D
Audi A1 SPORTBACK 25 TFSI 70 kW (95CV) S tronic MY 21,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. Adrenalin/Adrenalin Black line MY23,Clasificación: C
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. Advanced MY23,Clasificación: C
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. Básico MY22,Clasificación: C
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. Básico/Advanced MY21,Clasificación: C
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. S line/Adrenalin/Black line MY21,Clasificación: C
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) 6 vel. S line/Black line MY22,Clasificación: C
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel Adrenalin/Adrenalin Black line MY23,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel Advanced MY23,Clasificación: D
Audi A1 SPORTBACK 30 TFSI 81 kW (110 CV) S tronic 7 vel Básico MY22,Clasificación: D
