"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"SEAT LEON 1.0 TSI 85KW S/S STYLE MY19","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.0 TSI 85KW S/S STYLE ST MY19","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.0 TSI 85KW S/S STYLE VISIO ED NAV MY19","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.0 TSI 85KW S/S STYLE VISIO EDITION MY19","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp FR XL e-HYBRID MY24","","Híbridos enchufables","M1","2050","14.3","85.0","64.0","13.0"
"SEAT LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp FR XL MY23","","Híbridos enchufables","M1","2060","14.3","85.0","64.0","12.8"
"SEAT LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp FR XM e-HYBRIID MY24","","Híbridos enchufables","M1","2050","14.3","85.0","64.0","13.0"
"SEAT LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp FR XM MY23","","Híbridos enchufables","M1","2060","14.3","85.0","64.0","12.8"
"SEAT LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp FR XXL e-HYBRID MY24","","Híbridos enchufables","M1","2050","14.3","85.0","64.0","13.0"
"SEAT LEON 1.4 e-HYBRID 150kW (204cv) DSG-6 St&Sp FR XXL MY23","","Híbridos enchufables","M1","2060","14.3","85.0","64.0","12.8"
"SEAT LEON 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp FR","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp FR EDITION PLUS","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp FR FAST EDITION PLUS s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp FR FAST EDITION s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp XCELLENCE","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp XCELLENCE EDITION PLUS","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp XCELLENCE EDITION PLUS s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) DSG-7 St&Sp XCELLENCE s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) St&Sp FR","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) St&Sp FR EDITION PLUS","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) St&Sp FR FAST EDITION PLUS s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) St&Sp FR FAST EDITION s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) St&Sp XCELLENCE","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) St&Sp XCELLENCE EDITION PLUS","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) St&Sp XCELLENCE EDITION PLUS s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 110kW (150cv) St&Sp XCELLENCE s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 96kW (130cv) St&Sp STYLE","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 96kW (130cv) St&Sp STYLE s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 96kW (130cv) St&Sp STYLE VISIO EDITION","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 96kW (130cv) St&Sp STYLE VISIO EDITION CON NAVI","","Gasolina","M1","1720","","","",""
"SEAT LEON 1.5 EcoTSI 96kW (130cv) St&Sp STYLE VISIO EDITION CON NAVI s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 EcoTSI 96kW (130cv) St&Sp STYLE VISIO EDITION s48","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp FR","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp FR EDITION PLUS","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp FR FAST EDITION PLUS s48","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp FR FAST EDITION s48","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp FR XL MY23","","Gas natural","M1","1890","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp FR XM MY23","","Gas natural","M1","1890","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp FR XS MY23","","Gas natural","M1","1890","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp FR XXL MY23","","Gas natural","M1","1890","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp XCELLENCE","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp XCELLENCE EDITION PLUS","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp XCELLENCE EDITION PLUS s48","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) DSG-7 St&Sp XCELLENCE s48","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) St&Sp FR FAST EDITION PLUS s48","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) St&Sp FR FAST EDITION s48","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) St&Sp STYLE s48","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) St&Sp STYLE VISIO EDITION CON NAVI s48","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) St&Sp STYLE VISIO EDITION s48","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) St&Sp XCELLENCE EDITION PLUS s48","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96kW (130cv) St&Sp XCELLENCE s48","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S FR DCT MY19","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96KW S/S FR EDITION DCT MY19","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96KW S/S FR EDITION MY19","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S FR EDITION ST DCT MY19","","Gas natural","M1","1880","","","",""
"SEAT LEON 1.5 TGI 96KW S/S FR EDITION ST MY19","","Gas natural","M1","1850","","","",""
"SEAT LEON 1.5 TGI 96KW S/S FR MY19","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S REFERENCE EDITION MY19","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S REFERENCE EDITION ST MY19","","Gas natural","M1","1850","","","",""
"SEAT LEON 1.5 TGI 96KW S/S REFERENCE MY19","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S REFERENCE ST MY19","","Gas natural","M1","1850","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE DCT MY19","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE ED NAV ST DCT MY19","","Gas natural","M1","1880","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE EDITION NAV ST MY19","","Gas natural","M1","1850","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE EDITION ST DCT MY19","","Gas natural","M1","1880","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE EDITION ST MY19","","Gas natural","M1","1850","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE MY19","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE ST DCT MY19","","Gas natural","M1","1880","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE ST MY19","","Gas natural","M1","1850","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE VIS ED NAV DCT MY19","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE VISIO ED DCT MY19","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE VISIO ED NAV MY19","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S STYLE VISIO EDITION MY19","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S XCELLENCE DCT MY19","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96KW S/S XCELLENCE ED ST DCT MY19","","Gas natural","M1","1880","","","",""
"SEAT LEON 1.5 TGI 96KW S/S XCELLENCE EDITION DCT MY19","","Gas natural","M1","1840","","","",""
"SEAT LEON 1.5 TGI 96KW S/S XCELLENCE EDITION MY19","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S XCELLENCE EDITION ST MY19","","Gas natural","M1","1850","","","",""
"SEAT LEON 1.5 TGI 96KW S/S XCELLENCE MY19","","Gas natural","M1","1810","","","",""
"SEAT LEON 1.5 TGI 96KW S/S XCELLENCE ST DCT MY19","","Gas natural","M1","1880","","","",""
"SEAT LEON 1.5 TGI 96KW S/S XCELLENCE ST MY19","","Gas natural","M1","1850","","","",""
"SEAT LEON 1.5 TGI 96W S/S FR ST DCT MY19","","Gas natural","M1","1880","","","",""
"SEAT LEON 1.5 TGI 96W S/S FR ST MY19","","Gas natural","M1","1850","","","",""
"SEAT LEON 1.5 TSI 110KW S/S FR DCT MY19","","Gasolina","M1","1790","","","",""
"SEAT LEON 1.5 TSI 110KW S/S FR EDITION DCT MY19","","Gasolina","M1","1790","","","",""
"SEAT LEON 1.5 TSI 110KW S/S FR EDITION MY19","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 TSI 110KW S/S FR EDITION ST DCT MY19","","Gasolina","M1","1860","","","",""
"SEAT LEON 1.5 TSI 110KW S/S FR EDITION ST MY19","","Gasolina","M1","1840","","","",""
"SEAT LEON 1.5 TSI 110KW S/S FR MY19","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 TSI 110KW S/S XCELLENCE DCT MY19","","Gasolina","M1","1790","","","",""
"SEAT LEON 1.5 TSI 110KW S/S XCELLENCE ED ST DCT MY19","","Gasolina","M1","1860","","","",""
"SEAT LEON 1.5 TSI 110KW S/S XCELLENCE EDITION DCT MY19","","Gasolina","M1","1790","","","",""
"SEAT LEON 1.5 TSI 110KW S/S XCELLENCE EDITION MY19","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 TSI 110KW S/S XCELLENCE EDITION ST MY19","","Gasolina","M1","1840","","","",""
"SEAT LEON 1.5 TSI 110KW S/S XCELLENCE MY19","","Gasolina","M1","1780","","","",""
"SEAT LEON 1.5 TSI 110KW S/S XCELLENCE ST DCT MY19","","Gasolina","M1","1860","","","",""
"SEAT LEON 1.5 TSI 110KW S/S XCELLENCE ST MY19","","Gasolina","M1","1840","","","",""
"SEAT LEON 1.5 TSI 110W S/S FR ST DCT MY19","","Gasolina","M1","1860","","","",""
"SEAT LEON 1.5 TSI 110W S/S FR ST MY19","","Gasolina","M1","1840","","","",""
"SEAT LEON 1.5 TSI 96kW (130cv) St&Sp FR XL MY23","","Gasolina","M1","1850","","","",""
