X,Y,FID,Field1,Provincia,Municipio,Localidad,Código_po,Dirección,Margen,Longitud,Latitud,Toma_de_da,Precio_gas,Precio_g_1,Precio_g_2,Precio_g_3,Precio_g_4,Precio_g_5,Precio_g_6,Precio_g_7,Precio_g_8,Precio_bio,F__bioalco,Precio_b_1,F__éster_,Precio_g_9,Precio__10,Precio__11,Precio_hid,Rótulo,Tipo_venta,Rem_,Horario,Tipo_servi,fecha
-4.66016699999994,40.6699440000001,1,1200,ÁVILA,ÁVILA,AVILA,5004,"AVENIDA PATRIMONIO DE LA HUMANIDAD, 4, 4",N,-4.660167,40.669944,2023/06/30 00:00:00+00,1.589, ,0,0, ,1.469,1.509,0, , , , , ,0,0,0, ,CARREFOUR,P,dm,L-D: 24H,L-D: 24H (A),2023/07/03 00:00:00+00
-4.68558299999995,40.667472,2,1201,ÁVILA,ÁVILA,AVILA,5004,"PG POLIG. INDUST. HERVENCIAS II, S.",D,-4.685583,40.667472,2023/06/30 00:00:00+00,1.629, ,0,0, ,1.469,1.559,0, , , , , ,0,0,0, ,BP - AVILA,P,dm,L: 07:00-23:00,L: 07:00-23:00 (A),2023/07/03 00:00:00+00
-4.66011099999997,40.667694,3,1202,ÁVILA,ÁVILA,AVILA,5004,"AVENIDA JUAN CARLOS I, S/N",I,-4.660111,40.667694,2023/07/01 00:00:00+00,1.639, ,0,1.779, ,1.499,1.549,0, , , , , ,0,0,0, ,REPSOL,P,dm,L: 08:00-00:00,L: 08:00-00:00 (A),2023/07/03 00:00:00+00
-4.67430599999994,40.6620280000001,4,1203,ÁVILA,ÁVILA,AVILA,5004,"AVENIDA JUAN CARLOS I, 19",D,-4.674306,40.662028,2023/06/27 00:00:00+00,1.639, ,0,1.779, ,1.489,1.569,0, , , , , ,0,0,0, ,CEPSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (A),2023/07/03 00:00:00+00
-4.67333299999996,40.6618060000001,5,1204,ÁVILA,ÁVILA,AVILA,5004,"AVENIDA JUAN CARLOS I, 4",I,-4.673333,40.661806,2023/06/27 00:00:00+00,1.639, ,1.729,0, ,1.489,1.569,0, , , , , ,0,0,0, ,CEPSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (A),2023/07/03 00:00:00+00
-4.68494399999997,40.668389,6,1205,ÁVILA,ÁVILA,AVILA,5004,"CALLE RIO PISUERGA, 21",N,-4.684944,40.668389,2023/06/26 00:00:00+00,1.519, ,0,0, ,1.319,1.379,0, , , , , ,0,0,0, ,DST POL HERVENCIAS,P,dm,L-D: 24H,"L-V: 00:00-07:00 (D), 07:00-20:00 (P), 20:00-23:59 (D); S: 00:00-09:00 (D), 09:00-14:00 (P), 14:00-23:59 (D); D: 24H (D)",2023/07/03 00:00:00+00
-4.68552799999998,40.667694,7,1206,ÁVILA,ÁVILA,AVILA,5004,"CALLE RIO AREVALILLO, 23",I,-4.685528,40.667694,2023/07/01 00:00:00+00,1.459, ,0,0, ,1.289,0,0, , , , , ,0,0,0, ,PETROPRIX,P,dm,L-D: 24H,L-D: 24H (A),2023/07/03 00:00:00+00
-4.67947199999998,40.6641670000001,8,1207,ÁVILA,ÁVILA,AVILA,5004,"CALLE RIO DUERO, 11",N,-4.679472,40.664167,2023/06/30 00:00:00+00,1.469, ,0,0, ,1.299,0,0, , , , , ,0.859,0,0, ,REPOSTAR,P,dm,L-D: 24H,"L-V: 00:00-08:00 (D), 08:00-21:00 (A), 21:00-23:59 (D); S: 00:00-09:00 (D), 09:00-14:00 (A), 14:00-23:59 (D); D: 24H (D)",2023/07/03 00:00:00+00
-4.67919399999994,40.6610830000001,9,1208,ÁVILA,ÁVILA,AVILA,5004,"CALLE JORGE DE SANTAYANA, 2",D,-4.679194,40.661083,2023/06/30 00:00:00+00,1.469, ,0,0, ,1.299,0,0, , , , , ,0,0,0, ,PLENOIL,P,dm,L-D: 24H,L-D: 24H (D),2023/07/03 00:00:00+00
-4.67488899999995,40.6618060000001,10,1209,ÁVILA,ÁVILA,AVILA,5004,"AVENIDA JUAN CARLOS I, 17",D,-4.674889,40.661806,2023/07/01 00:00:00+00,1.469, ,0,0, ,1.299,0,0, , , , , ,0,0,0, ,PETROPRIX,P,dm,L-D: 24H,L-D: 24H (D),2023/07/03 00:00:00+00
