"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"SEAT NUEVO Leon Sportstourer 2.0 TDI CR 85KW (115cv) St&Sp REFERENCE","","4.2","4.8","114.0","127.0"
"SEAT NUEVO Leon Sportstourer 2.0 TDI CR 85KW (115cv) St&Sp REFERENCE GO","","4.2","4.8","114.0","127.0"
"SEAT NUEVO Leon Sportstourer 2.0 TDI CR 85KW (115cv) St&Sp REFERENCE GO MY22","","4.2","4.8","115.0","127.0"
"SEAT NUEVO Leon Sportstourer 2.0 TDI CR 85KW (115cv) St&Sp REFERENCE MY22","","4.2","4.8","114.0","127.0"
"SEAT NUEVO Leon Sportstourer 2.0 TDI CR 85KW (115cv) St&Sp STYLE","","4.2","4.8","114.0","127.0"
"SEAT NUEVO Leon Sportstourer 2.0 TDI CR 85KW (115cv) St&Sp STYLE GO","","4.2","4.8","114.0","127.0"
"SEAT NUEVO Leon Sportstourer 2.0 TDI CR 85KW (115cv) St&Sp STYLE GO MY22","","4.2","4.8","114.0","127.0"
"SEAT NUEVO Leon Sportstourer 2.0 TDI CR 85KW (115cv) St&Sp STYLE MY22","","4.2","4.8","114.0","127.0"
"SEAT SEAT MÓ 125 2","","","","",""
"SEAT SEAT MÓ 125 PERFOMANCE 2","","","","",""
"SEAT SEAT MÓ 125 Performance 2","","","","",""
"SEAT SEAT MÓ eScooter 125 2","","","","",""
"SEAT Tarraco 1.4 e-HYBRID 180kW (245CV) DSG  X-PERIENCE XL e-HYBRID MY23","","1.4","2.0","36.0","45.0"
"SEAT Tarraco 1.4 e-HYBRID 180kW (245CV) DSG  X-PERIENCE XM MY23","","1.4","2.0","36.0","45.0"
"SEAT Tarraco 1.4 e-HYBRID 180kW (245CV) DSG  X-PERIENCE XXL e-HYBRID MY23","","1.4","2.0","36.0","45.0"
"SEAT Tarraco 1.4 e-HYBRID 180kW (245CV) DSG  XCELLENCE","","1.6","2.1","44.0","47.0"
"SEAT Tarraco 1.4 e-HYBRID 180kW (245CV) DSG  XCELLENCE GO e-HYBRID","","1.6","2.1","44.0","47.0"
"SEAT Tarraco 1.4 e-HYBRID 180kW (245CV) DSG  XCELLENCE GO e-HYBRID","","1.6","2.1","44.0","47.0"
"SEAT Tarraco 1.4 e-HYBRID 180kW (245CV) DSG FR","","1.6","2.1","41.0","47.0"
"SEAT Tarraco 1.4 e-HYBRID 180kW (245CV) DSG FR EDITION e-HYBRID* MY24","","1.4","2.0","34.0","45.0"
